"","baseMean","log2FoldChange","lfcSE","pvalue","padj","symbol","entrezid"
"643911",76.3521580064492,3.93320832561053,0.344239931741088,2.91637986017488e-32,3.99869989181272e-29,"CRNDE","643911"
"55532",333.582264478839,-4.02012182262852,0.36857373940255,3.7098187417589e-32,4.80400916953657e-29,"SLC30A10","55532"
"2118",660.759581260242,4.22974903660384,0.39936093220046,4.01624237166087e-32,4.92708386531807e-29,"ETV4","2118"
"766",798.070022118117,-4.79838934574502,0.462386800373246,1.23794077717906e-31,1.44275807876334e-28,"CA7","766"
"92736",258.898020486968,-5.38503996908314,0.51952702699812,2.33489694586616e-31,2.59162442434259e-28,"OTOP2","92736"
"176",336.804214296912,3.80503142618091,0.355977957892303,3.84660821469961e-31,4.07548140347424e-28,"ACAN","176"
"4320",891.050221680524,3.08075604062538,0.280667013408119,7.00390137340412e-31,7.09799726576855e-28,"MMP11","4320"
"25975",102.772649465577,4.76203506302104,0.446686800755505,6.30649574840193e-30,6.12492122497919e-27,"EGFL6","25975"
"266675",606.551911097998,-4.53275890326771,0.451705839128318,1.12381597035683e-29,1.04780105812189e-26,"BEST4","266675"
"8507",2834.56040032031,1.58463142767182,0.144741405690316,1.28672182377123e-28,1.15354611501091e-25,"ENC1","8507"
"285313",241.110677283069,-3.49800746597571,0.348496462990518,7.25592374346347e-28,6.26401209394037e-25,"IGSF10","285313"
"105377483",56.219465845417,-3.32173259041236,0.323493562947504,2.48214214110317e-27,2.06629468453478e-24,"LOC105377483","105377483"
"54972",708.352159793185,2.45651030095567,0.239604570045135,3.79837074395522e-27,3.05297323002938e-24,"TMEM132A","54972"
"7102",550.750975680642,-2.00480130362289,0.194208947929976,7.57710932557905e-27,5.88716137566407e-24,"TSPAN7","7102"
"100127888",181.203859216938,2.97964894940703,0.300412279454064,2.70125642685065e-26,2.03108342107941e-23,"SLCO4A1-AS1","100127888"
"7804",531.054867417598,2.23134913377519,0.220449305846772,3.58443914358423e-26,2.6109278749314e-23,"LRP8","7804"
"6947",342.02327414918,5.21213424068229,0.555685297176397,5.56318401642535e-26,3.92946231026844e-23,"TCN1","6947"
"9075",688.087364160818,4.63273273704043,0.500651107088756,6.16337303277753e-26,4.22535476532387e-23,"CLDN2","9075"
"221416",257.546911910153,3.9793326786686,0.420994903335272,7.58332896155335e-26,5.05028042185277e-23,"LINC03040","221416"
"948",925.196318167209,-1.99254723752716,0.197890379413678,1.49807930331027e-25,9.69964735579417e-23,"CD36","948"
"1277",24468.4858536064,3.27382145238339,0.346503255014027,2.46357501242141e-25,1.55198567471704e-22,"COL1A1","1277"
"57464",256.508666483828,2.42818851138457,0.24525981483911,4.16347107414038e-25,2.55385124387205e-22,"STRIP2","57464"
"7148",2761.68639413135,-2.94777995255569,0.313773212109467,1.27094989446211e-24,7.59604386923518e-22,"TNXB","7148"
"28231",1128.86784250313,2.83427507652717,0.300170554251667,1.37624724777064e-24,8.01973677457148e-22,"SLCO4A1","28231"
"1116",584.621561124125,4.19669980464608,0.460890502485949,3.03601541125344e-24,1.72601178587577e-21,"CHI3L1","1116"
"81792",712.833316761818,2.6861039843933,0.282102886149527,3.93262968203593e-24,2.18251583948989e-21,"ADAMTS12","81792"
"23650",647.954423198403,4.25475128607643,0.495214595360706,8.28081329583651e-24,4.48877853750356e-21,"TRIM29","23650"
"389658",35.846183014431,4.01949160835543,0.416622847069764,8.72867297210556e-24,4.62401450697292e-21,"ALKAL1","389658"
"730",1989.92170443889,-4.41764596140868,0.530865323003359,1.02188565752019e-23,5.29314062025294e-21,"C7","730"
"477",494.751350316625,-4.22931786092237,0.508787262528301,2.39931029902466e-23,1.21577225565143e-20,"ATP1A2","477"
"4312",5460.37078918358,6.0302003896346,0.751915166938766,2.66574309547016e-23,1.32203842153859e-20,"MMP1","4312"
"3589",296.492578274631,4.55400194607075,0.526491603840875,3.31264710509559e-23,1.60863523693069e-20,"IL11","3589"
"7166",411.052367346578,-3.12904371647506,0.340400792515864,3.50133764105642e-23,1.66556487908947e-20,"TPH1","7166"
"27132",308.328343942066,3.4777636842915,0.382511152938517,3.57737128769657e-23,1.66769894689839e-20,"CPNE7","27132"
"54498",286.408767742025,2.15293958725327,0.228635148732079,3.94521602385038e-23,1.8031184372535e-20,"SMOX","54498"
"590",170.263513882955,-4.16702564166968,0.480716048011966,4.0423252246803e-23,1.80565329266081e-20,"BCHE","590"
"100288077",1080.22224718385,4.54276860691366,0.541403292713585,4.10569413149526e-23,1.80565329266081e-20,"WTAPP1","100288077"
"9076",853.386276297693,4.27185492793106,0.527877482710582,5.99751706647508e-22,2.58881713523088e-19,"CLDN1","9076"
"759",7076.1536037097,-4.14935988803819,0.520020552265073,6.62183003583456e-22,2.80633156918668e-19,"CA1","759"
"7068",673.764542765935,-2.25891113959045,0.249067275422893,7.26486326126281e-22,3.02386960279955e-19,"THRB","7068"
"9319",439.169425092747,2.64612237774624,0.29886686071779,1.15903668167151e-21,4.73964666896163e-19,"TRIP13","9319"
"4188",214.111466385756,2.89426659932839,0.329407718914328,1.30604551449669e-21,5.24872670644886e-19,"MDFI","4188"
"79785",64.5735475804398,-4.75116006004986,0.560823294010627,1.33630409798802e-21,5.27930715593267e-19,"RERGL","79785"
