"","baseMean","log2FoldChange","lfcSE","pvalue","padj","entrezid","symbol"
"23322",161.161045302497,1.13033600679236,0.168705625325836,1.67759472813539e-12,3.10558844625288e-10,"23322","RPGRIP1L"
"6696",5530.67051166025,3.011780938516,0.557497220183108,1.77976462937706e-12,3.26422016469453e-10,"6696","SPP1"
"3730",113.613936778973,2.27470510710137,0.377484489976318,1.89397462360857e-12,3.44182104077419e-10,"3730","ANOS1"
"54210",145.349741439993,2.82950932796178,0.476256373451318,1.95619414588487e-12,3.52257214924433e-10,"54210","TREM1"
"1282",10062.2351480822,2.19332164383575,0.368032344406727,2.03156288399233e-12,3.62533311766847e-10,"1282","COL4A1"
"290",9608.90956385998,-2.93304027002411,0.521190629094069,2.33047342219637e-12,4.12160870954157e-10,"290","ANPEP"
"24147",101.993599436648,2.2961508099557,0.381923541191647,2.47563110048924e-12,4.30151761741148e-10,"24147","FJX1"
"288",1054.49604711188,-1.18050661398718,0.180269269559097,2.61576818453966e-12,4.50549010429231e-10,"288","ANK3"
"1470",29.5482482106497,4.64275206056826,0.900177407095063,2.77470034792144e-12,4.73804004238171e-10,"1470","CST2"
"64220",107.717336327476,3.40931824867605,0.602897863756915,2.8430027822827e-12,4.81317941123554e-10,"64220","STRA6"
"101929705",142.071309737881,3.49786414889955,0.622320726562594,3.10781093393186e-12,5.21690838807815e-10,"101929705","SCIRT"
"170425",21.1073284174746,3.78149730293448,0.647689229616123,3.14204116315302e-12,5.23004633275084e-10,"170425","LINC00858"
"7058",2777.41043991225,2.82326922836812,0.499955542286526,3.25597101055826e-12,5.3745228147615e-10,"7058","THBS2"
"54443",789.010731258725,2.04002818165205,0.326273931147277,3.40055522598094e-12,5.56679321621739e-10,"54443","ANLN"
"10410",6174.22415146335,1.51037152049241,0.238760300459882,3.549512651446e-12,5.67006020966471e-10,"10410","IFITM3"
"50507",33.9249671073764,3.22025291552203,0.542415321752249,3.51209371630918e-12,5.67006020966471e-10,"50507","NOX4"
"6493",180.5714128139,3.63730297668362,0.665557584511247,3.54527238159716e-12,5.67006020966471e-10,"6493","SIM2"
"51645",440.336355839447,1.01066391818251,0.152949740311467,3.62871715332143e-12,5.75021034983926e-10,"51645","PPIL1"
"92659",51.1261135901923,2.06602140216343,0.328624373980948,3.76068127113625e-12,5.91202973164023e-10,"92659","MILIP"
"3872",364.85665226075,3.89001145889163,0.715752613153147,3.80954482114314e-12,5.94169006434671e-10,"3872","KRT17"
"10050",730.325517961016,-2.8127248157628,0.521002543301335,4.08093819832467e-12,6.26629642111745e-10,"10050","SLC17A4"
"145741",139.993077427456,2.56669770287017,0.436622528670385,4.23546810642737e-12,6.45355017323948e-10,"145741","C2CD4A"
"1836",19629.7905223386,-3.16503869366663,0.613659256852468,4.35644095660341e-12,6.48814905777446e-10,"1836","SLC26A2"
"101927125",62.6562931975319,3.10926691498818,0.544896625373945,4.34094458320682e-12,6.48814905777446e-10,"101927125","ELFN1-AS1"
"1811",22356.8897704989,-3.44669446497321,0.711394150233698,4.3025867569783e-12,6.48814905777446e-10,"1811","SLC26A3"
"206358",1554.72546880219,-1.50838913298128,0.239809902687113,4.44590582465784e-12,6.57197780409123e-10,"206358","SLC36A1"
"159371",328.662671264837,-1.26265327489077,0.195683466980013,4.59712264869828e-12,6.74517077225301e-10,"159371","SLC35G1"
"9507",428.557079447939,2.45192780218914,0.421249986822197,4.642990002215e-12,6.76237837969668e-10,"9507","ADAMTS4"
"105373869",65.2536780189928,4.34253791520747,0.780706860480742,4.93560811813436e-12,7.13609675941645e-10,"105373869","LINC01614"
"23213",3542.84994166788,2.42750454761126,0.410490652802849,5.08363075005766e-12,7.29685202153203e-10,"23213","SULF1"
"5653",186.648613630983,6.15504642337322,1.21116953704227,5.4515084482507e-12,7.76859563618344e-10,"5653","KLK6"
"105375728",40.43530498626,1.71068818300173,0.268506733766439,5.82297796634386e-12,8.23868196838137e-10,"105375728","LOC105375728"
