"",gene_symbol,GSM2440320,GSM2440321,GSM2440322,GSM2440323,GSM2440324,GSM2440325,GSM2440326,GSM2440327,GSM2440328,GSM2440329,GSM2440330,GSM2440331
ENSG00000239713,APOBEC3G,111.0464,252.0729,51.7964,59.5659,231.0542,471.4105,63.6574,155.0468,203.8192,147.7713,151.4653,174.3839
ENSG00000239715,LOC105375115,0,0,0,2.3072,0,0,0,0,0,0,0,0
ENSG00000239718,HLTF-AS1,0,0,1.074,0,0,0,0,0,0.9885,0,2.0441,0
ENSG00000239732,TLR9,0,0,0,0,14.2726,21.7366,0,10.863,2.5701,0,34.5899,0
ENSG00000239741,LY6G6F,4.3232,0.0421,11.8113,29.8838,20.4643,0,30.6139,4.194,9.7729,2.759,3.6011,0.6568
ENSG00000239754,CFB,641.2872,1110.4603,300.6831,184.0837,1378.6973,93.2357,247.9397,691.8501,157.1209,637.7397,13.5837,158.1048
ENSG00000239756,PHF1,0.9864,6.3517,4.2459,2.6126,28.7404,18.5113,3.8847,9.2072,4.9692,1.0294,3.1384,0
ENSG00000239779,WBP1,1421.4587,1631.2101,907.6922,2111.9409,2233.6894,3184.2922,2223.4992,2220.8207,2103.1516,2204.1713,1059.9712,1309.079
ENSG00000239789,MRPS17,1111.0226,968.8508,635.4405,1167.2654,623.6159,554.1658,668.6398,1813.1038,1964.663,1138.7604,1020.0638,343.6559
ENSG00000239799,ITIH4-AS1,2.8571,0,0,1.9433,0.9643,0.942,1.0176,0,0,1.0366,0,0
ENSG00000239810,PRAMEF11,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000239827,SUGT1P3,11.7608,11.9934,13.3217,40.4653,34.9298,1.1739,11.3337,1.0001,17.4397,8.1338,1.0107,2.0199
ENSG00000239836,PSMB9,423.0696,642.5963,40.4543,55.0304,624.316,148.4186,2.2953,543.0542,705.5967,1057.143,207.263,353.3863
ENSG00000239839,DEFA3,3.1651,0,2.8976,36.1599,2.9357,2.8928,2.7011,0,0,0,0,2.0483
ENSG00000239857,GET4,4806.3275,3933.9956,2620.0266,9348.1339,5734.3387,1775.9382,9598.4168,3588.7784,4450.3883,3820.6189,3000.1718,1565.8238
ENSG00000239865,RPP21,1368.3926,975.0001,1132.0772,3094.3189,6.4099,0,1716.1415,2279.9939,0,908.152,358.5637,0
ENSG00000239877,IGSF11-AS1,0,0,0,1.0051,0,0,0,0,0,0,0,0
ENSG00000239886,KRTAP9-2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000239887,C1orf226,426.6845,618.2964,256.5657,469.2077,1076.3025,527.4025,204.8121,430.6011,786.1068,298.1188,36.5892,64.9229
