"","baseMean","log2FoldChange","lfcSE","pvalue","padj","symbol"
"58476",2027.60921642916,-1.98626941883618,0.163803189016446,2.45224012859938e-35,3.7604233468089e-33,"TP53INP2"
"57595",284.090446437469,-2.88592355203609,0.240885636722613,2.50605781719429e-35,3.81292781170772e-33,"PDZD4"
"92092",413.902939635464,1.87863943329862,0.154145645906341,2.61070116047223e-35,3.94134923257339e-33,"ZC3HAV1L"
"990",600.067960987727,2.23560476424788,0.186468759169954,3.9394630307395e-35,5.90161865566552e-33,"CDC6"
"9378",102.777757799138,-5.59754352810326,0.488731700035817,4.49230349399043e-35,6.67844355308882e-33,"NRXN1"
"7023",774.147185959531,1.63427305060601,0.134366445019,5.66705951316345e-35,8.36105939536805e-33,"TFAP4"
"221150",409.260045821616,2.37116378633732,0.198299308928484,6.66347414478203e-35,9.75722999771654e-33,"SKA3"
"105376567",279.508208983286,-4.82235713562144,0.430109298576982,7.35978091559532e-35,1.06963980097925e-32,"LOC105376567"
"51617",59.3275605000493,-3.80685873510813,0.320479217757222,7.7535846887695e-35,1.11852638380582e-32,"NSG2"
"2788",650.131712335701,-2.66764523001728,0.224126129003645,8.24272033461976e-35,1.18034543027e-32,"GNG7"
